TransactionAmt,Source,Target,Date
1,39027,39059,2011
1,39032,39075,2011
1,39032,39059,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39059,2011
1,39059,39075,2011
1,39027,39059,2012
1,39032,39059,2012
1,39059,39059,2012
TransactionAmt,Source,Target,Date
1,39027,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39059,39075,2011
1,39027,39075,2012
1,39032,39059,2012
1,39059,39059,2012
1,39059,39059,2012
1,39059,39075,2012
1,39059,39075,2012
1,39059,39059,2012
1,39092,39075,2012
1,39027,39075,2013
1,39027,39059,2013
1,39027,39075,2013
1,39059,39075,2013
1,39059,39075,2013
1,39059,39075,2013
1,39059,39075,2013
1,39059,39075,2013
1,39059,39075,2013
1,39027,39075,2014
1,39027,39059,2014
1,39059,39075,2014
1,39070,39075,2014
